"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"WindowBuilder Pro","Empty command","Ctrl+Alt+A","WindowBuilder Java scope"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"View","Zoom In","Ctrl+=","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Project","Build All","Ctrl+B","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"Navigate","Next Page","Alt+F7","In Windows"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
